Smiles,CDK1,CDK2,CDK4,CDK5,CDK6,CDK7,CDK8,CDK9,,,,
CC(C)c1[nH]nc2c(NCc3ccccc3O)ncnc12,1,,,,,,,,,,,
CNC1CC2OC(C)(C1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,1,1,1,1,1,1,1,1,,,,
N#CCCc1ccc2c(c1)-c1[nH]c3ccc([N+](=O)[O-])cc3c1CC(=O)N2,1,,,1,,,,,,,,
NS(=O)(=O)c1ccc(Nc2ncc(C(F)(F)F)c(Nc3ccc4[nH]cnc4c3)n2)cc1,1,,,,,,,,,,,
NS(=O)(=O)c1ccc(Nc2ncc(C(F)(F)F)c(Nc3ccc4nc[nH]c4c3)n2)cc1,1,,,,,,,,,,,
CC1CC2CN1CCn1nc3c(cccc3c1O)-c1nc3c(cccc3nc1O)O2,1,1,1,,1,,,,,,,
CC1CNc2c(sc3ccc4ncccc4c23)C(=O)N1,1,,,,,,,,,,,
CC1CNc2c(sc3ccc4occc4c23)C(=O)N1,1,,,,,,,,,,,
CC(C)c1[nH]nc2c(Nc3cccc(Cl)c3)ncnc12,1,,,,,,,,,,,
CC(C)c1[nH]nc2c(NCc3ccccc3)ncnc12,1,,,,,,,,,,,
CCCCCNc1ncnc2c(C(C)C)[nH]nc12,1,,,,,,,,,,,
CCNCc1cncc(-c2cnc3n[nH]c(-c4nc5ccc(F)cc5[nH]4)c3c2)c1,1,,,,,,,,,,,
COc1ccc(CNc2ncnc3c(C(C)C)[nH]nc23)cc1O,1,,,,,,,,,,,
FC(F)(F)c1cnc(Nc2ccc3[nH]cnc3c2)nc1Nc1ccccc1Cl,1,1,1,,,,,,,,,
FC(F)(F)c1cnc(Nc2ccc3nc[nH]c3c2)nc1Nc1ccccc1Cl,1,1,1,,,,,,,,,
NC(=O)c1c(Br)n(C2OC(CO)C(O)C2O)c2ncnc(N)c12,1,1,,,,,,,,,,
Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=S)Nc1c(F)cccc1F,1,1,1,1,,1,,1,,,,
C#CC(=O)Nc1ccc2c(c1)C(=Cc1[nH]cnc1C)C(=O)N2,1,,,,,,,,,,,
C#CC(=O)Nc1ccc2c(c1)C(=Cc1cnc[nH]1)C(=O)N2,1,,,,,,,,,,,
